fav_cnt,play_cnt,tid,title,uin,encrypt_uin,nick,class
253,23786,8416949204,「寻声万物」世界地球日公益企划,1722689509,oKSAowCFNK4zNv**,Discovery Earth Day,3317
1587,404385,8407803512,华研国际音乐精选,2715103416,owS57K6zoiv57c**,华研国际音乐,3317
279,23634,8198445125,A-Sketch官方精选,1152921505135925233,oK6kowEAoK4z7K6i7KEA7K-ioz**,A-Sketch,3317
426,25089,8428968479,「寻找宇宙之声」世界航天日特别企划,3064809915,oins7eczNKE57v**,红砖美术馆,3317
1710,112295,8386490473,迪士尼金曲 · 女声力量,1841473449,oKcPoKvloivPNv**,环球音乐国际部,3317
487,144899,8380456885,女声3.8｜自信美丽爱自己,2814458728,owc57evkNeSANn**,索尼音乐娱乐,3317
403,87840,8382751610,全力以赴 | 生命因运动而精彩,2814458728,owc57evkNeSANn**,索尼音乐娱乐,3317
4558,1120924,8322221248,2021国风音乐人私藏：一人一首,3217856309,oi-57ick7wozNv**,国风集,3317
789,404632,8251015081,新鲜制造官方精选,1938275632,oKEiNe-l7KCioc**,新鲜制造,3317
283,131258,8225226540,新湃官方精选,3422460900,oivAowvsoeEzon**,新湃传媒,3317
563,179176,8040991124,Being官方精选,45373934,7e4i7ioqoiv*,B ZONE_Official,3317
2415,753996,7956999472,电波周放送｜原创新歌精选,1600207358,oKCzoe-z7iokNn**,脉冲星电波,3317
16270,861341,5510241569,环球官方精选,1841473449,oKcPoKvloivPNv**,环球音乐国际部,3317
6383,605963,7913233767,华纳新歌精选,2745492738,owSP7KvqowSiNn**,华纳音乐国际,3317
8481,686532,7908544356,索尼新歌精选,2814458728,owc57evkNeSANn**,索尼音乐娱乐,3317
583,73967,8146928133,Believe官方精选,2891766904,owcqoKSs7wEz7n**,Believe,3317
966,78017,7928680624,迪士尼旋律 · 重返校园,1841473449,oKcPoKvloivPNv**,环球音乐国际部,3317
5157,1048953,7923906096,迪士尼精选 ,1841473449,oKcPoKvloivPNv**,环球音乐国际部,3317
2529,695271,7924926740,迪士尼 • 皮克斯精选,1841473449,oKcPoKvloivPNv**,环球音乐国际部,3317
1792,103048,7924942309,漫威电影原声音乐,1841473449,oKcPoKvloivPNv**,环球音乐国际部,3317
583,43659,7927400257,星球大战精选音乐,1841473449,oKcPoKvloivPNv**,环球音乐国际部,3317
752,37845,7928593681,迪士尼夏日歌曲,1841473449,oKcPoKvloivPNv**,环球音乐国际部,3317
931,86338,7411464594,迪士尼爱恋金曲,1841473449,oKcPoKvloivPNv**,环球音乐国际部,3317
4769,540190,7810154978,迪士尼节日歌曲选集,1841473449,oKcPoKvloivPNv**,环球音乐国际部,3317
1582,328131,8074751338,迪士尼万圣节,1841473449,oKcPoKvloivPNv**,环球音乐国际部,3317
2352,118125,8072832532,The Orchard日音精选,2644566324,owCP7e4s7woA7n**,The Orchard_Official,3317
1325,423213,7941065333,EMI官方精选,2549276501,ow4PNK-l7w4zov**,EMI华语官方账号,3317
1340,223330,4269050265,Liquid State厂牌官方精选,1328426244,oKoANevA7w-P7n**,Liquid State,3317
1347,159476,8017918570,哇唧唧哇官方精选,2714462972,owS57evsowEloc**,哇唧唧哇,3317
942,173455,7992873861,The Orchard官方精选,2644566324,owCP7e4s7woA7n**,The Orchard_Official,3317
